80D 7FF 80B
80D 7FD 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FD 80A
80D 7FF 80A
80E 7FE 80B
80E 801 80B
7FF 801 809
83E 800 842
80B 7FD 80B
80F 7FE 80B
80B 7F5 807
80C 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FF 80B
80D 7FE 80B
80D 7FF 80B
80D 7FD 80B
80E 7FE 80B
80D 7FD 80B
80D 7FE 80A
80D 7FD 80B
80D 7FD 80B
80D 7FD 80B
80D 7FD 80B
80D 7FD 80A
80F 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80D 7FD 80A
80D 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80C
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80A
80D 800 80B
80C 7FC 7E5
80C 7DD 7E5
80D 7FE 80A
80C 7FE 809
818 7FF 80D
80D 7FE 80A
818 7D7 800
80F 7FD 80B
817 7FE 813
801 7F7 809
80F 7FF 80B
80D 7FF 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FD 80A
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FD 80B
80D 7FD 80B
80D 7FE 80B
80E 7FD 80B
80D 7FD 80B
80D 7FE 80B
80D 7FD 80A
80E 7FE 80A
7FF 7FD 7DF
7E1 80D 807
80D 7FF 808
811 7FE 80B
80D 843 80F
80E 7FE 80E
80D 7FE 80B
80D 7FD 80A
80D 7FD 80B
80C 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80A
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FD 80B
80D 7FE 80B
80F 7FD 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
